player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#CQUUUJU,Jack|tribe,336,64111,24386,PIPER,26
#9CVULVQ2,Trash Noob,289,63184,20259,PIPER,26
#8C92V2GC,Devin1726,323,61733,23409,PIPER,27
#RGQJRPPG,Tribe|Cpondy,309,61330,26790,PIPER,27
#9V0Q8RRY,TheSwagyGoat,280,58352,18471,PIPER,26
#LCQJG8U,Radon,267,58178,18152,PIPER,26
#PYJYUP09,Dr.E,383,58094,14995,PIPER,25
#9Q928YU20,Trizus YT,319,58052,13992,PIPER,24
#80GVPQVQL,Tribe|Tempest,292,56453,8356,PIPER,25
#2L2VCUG,Tribe|Denying,301,56459,20301,PIPER,25
#Y88G92QYU,berryblast,233,56061,11653,PIPER,27
#2U9UPRQ2,Tribe|Maestro,322,56091,7715,PIPER,25
#2QYPYGPVP,Moth,250,55353,12711,PIPER,29
#8VYJ2PRUP,Gabry7000,271,54581,17472,PIPER,25
#88L22RC0,Tigers_XREX,300,54752,24468,PIPER,25
#QY8P0RLC,matt,308,53960,27266,PIPER,26
#J2YVY9UJ,Atomic,223,53959,14103,PIPER,22
#229V0GV2,Klanman,284,53503,15583,PIPER,24
#YYCJGPCPR,ẞLEXUS,232,52080,9847,PIPER,25
#2CU82L2U0,vapor,205,52034,15032,PIPER,21
#P9QR2URQ2,Tribe|Assassin,227,51663,13715,PIPER,26
#JQVYCL2G,Yonder,265,51025,19072,PIPER,26
#29YQ2V9QC,Tanner,249,50695,15589,PIPER,26
#89UP88UYQ,TheyCallMeKenny,207,48334,12977,PIPER,20
#2JG8QY0P9,Tribe|Shmakot,296,48120,14284,PIPER,23
#8PUPL2GYG,TRB|Tommy🕷️🖤,232,45460,15301,PIPER,21
#2LYCQ28J,TRB|redruM🩸,251,44652,13314,PIPER,22
#GRL08P0L,C. Moore buttz,280,42074,20006,PIPER,22
#QQR0PLG8,Tadala,231,41693,13046,PIPER,22
#R20UP9L,Connqr,208,41225,9019,PIPER,27
