player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PL9UJRJ0P,《GØLD》,276,64527,16505,PIPER,27
#9P9QJQUY9,Acne💫,310,64412,20631,PIPER,29
#8URU2PJU,SamAaron,259,63756,15139,PIPER,30
#9RGG9V2P9,$l!ng3r,296,61494,23161,PIPER,26
#8GQ000G8C,Samuel,301,60464,15611,PIPER,25
#2CJUJ8RJ,Shahzaib500,275,59467,16298,PIPER,25
#ULV00RPJ,AbbattiS,376,58982,33240,PIPER,25
#LVP0CYC0,Toxic ☯︎,351,56643,23990,PIPER,27
#2YG8CJJY,Pegasus,245,55827,14942,PIPER,25
#82PYJG8PP,マヤ|SandStorm🖤,252,55092,12161,PIPER,27
#820CR9YR,Gavin,275,54631,17253,PIPER,24
#8RPG2RQC8,Penguin,242,54488,7276,PIPER,23
#2LC0UUQJL,IX | xev,255,54301,7479,PIPER,26
#RJYCL9U,TOX,241,53744,10559,PIPER,28
#PP0JJUQ,BRAWLER NITIN,330,53402,28619,PIPER,27
#QYGPVC,Kevin,277,53025,14050,PIPER,24
#2L28QUQU2,¡¡MERLIN!!,315,52767,30120,PIPER,26
#8V2CYPJ8,WB | Lazed,221,51028,12496,PIPER,24
#2RP2GLGVV,koko,266,50762,10246,PIPER,24
#9RGVCYVY,NW| Robin,254,50405,19431,PIPER,23
#8P8ULVPG,milesiopao,233,49864,13060,PIPER,22
#9VC9LVVGL,super twix,210,49530,9554,PIPER,26
#2R9R2LC2Q,bvx,204,49302,9747,PIPER,23
#8LVYJVV2,Jwampii☔️,248,48755,18556,PIPER,23
#VU2UQQR9,WB | Dagger,248,46356,15367,PIPER,27
#JC98PQY2,StoneyMontana,211,45929,13709,PIPER,24
#L2UV2VCL9,マヤ|𝙰𝚚𝚞𝚊🖤,178,45522,7359,PIPER,28
#UYULUU28,Jessy,218,45014,10026,PIPER,21
#2L08JJ22,Rya_Xyr,249,44445,11922,PIPER,22
#2298LPUJY,ĴĄĞŮĄŔ⁶⁹,250,43463,11362,PIPER,21
