player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#VUQV0ULV,𝓚𝔂𝔀𝔂,385,82863,20118,PIPER,35
#20PLJRJG,🚀SpaceMonkey🍌,327,79607,23593,PIPER,30
#8GU20YC9,YT stabbyduck,426,79029,66886,PIPER,30
#9V9YCUYPC,Toxin🀄️,319,73228,30677,PIPER,30
#RP099P8P,iristhelost 🍃,368,70419,43548,PIPER,30
#VPCL0Q9L,SR | moon✦.˚,312,69385,25487,PIPER,29
#999J0C2L,anard,343,68598,38466,PIPER,30
#GVCGPPV9,sh!t sprike,303,66104,20912,PIPER,30
#L9CY0JUQ,Aaron,365,65310,28890,PIPER,26
#8U8CVG0YV,ĶxngȚaj🪙,328,65008,30063,PIPER,30
#9VGRV0LQ,Yarii,336,64303,22292,PIPER,27
#UC2LCC0,Haha | Lambo,283,63002,27001,PIPER,30
#2LLRR8J02,Keylivi,278,60824,25845,PIPER,30
#RVGG9VUP,Cͥubͣeͫd_Steak,369,60275,43330,PIPER,30
#2YG0U9CP8,lamb,325,59435,38313,PIPER,30
#80LGLR22,Dmallo13 ッ,239,59134,13028,PIPER,25
#200YGPYG9,THRONE REAPER,282,59261,19044,PIPER,29
#PJY9GCCYR,TTV |ItzAli___,240,58026,17524,PIPER,25
#99VVCCPP,Donut🖤Throwing,299,57815,15276,PIPER,25
#9Y9VYC090,nikko,301,57339,31008,PIPER,26
#CCGVCQ8,Emilio,306,57072,22314,PIPER,28
#QUU9C8Q9,javierjj19,261,56661,20507,PIPER,30
#8Q0R9JJJV,Alvioli,299,56184,22748,PIPER,27
#PRQLUVC00,Piper🤍,249,55133,7627,PIPER,32
#U2LUQ9G8,JJlovesKiwi,308,55118,21188,PIPER,35
#P2QU0Y29,TeaMix,312,52591,30271,PIPER,30
#2900UJGR,❄️Ꮆuiℂlash❄️,344,52907,44578,PIPER,29
#U9CGUVU,IX | Revelatiøn,366,51993,37169,PIPER,30
#2G82GQ08P,NP | Equinox,184,38400,6918,PIPER,24
#JYRVRLR,THICCOCHET!!!!!,274,34705,12490,PIPER,26
