player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#28908UQ9Y,AbysmaL,376,72114,46625,PIPER,30
#2PQJQQLC,Waxoff,457,70335,50548,PIPER,30
#8J2YUVRQY,Vector,345,69749,28928,PIPER,27
#8PR0RVLL2,RDAWG,310,69294,25133,PIPER,30
#99J8CR089,kim?,326,69089,23662,PIPER,30
#80URRYVP,Brawl Buddy,373,68820,13733,PIPER,28
#C9RJCUPP,-HIGHQUALITY-,290,68005,16316,PIPER,30
#LV9QJ0RR,TripxxGod,302,65568,24214,PIPER,30
#PQYUVJ8L,zomboyy,354,65081,34708,PIPER,27
#80QVURJ9,McTħųggın🔛🔝,304,64922,19130,PIPER,27
#2QYPRQYR,J Liv,317,64807,20831,PIPER,30
#2G8PQ999,Dan,275,64225,19645,PIPER,29
#VYJVJ0RC,Pozzy99,340,63948,28039,PIPER,26
#2GQ99LLJ0,kane,291,63839,19588,PIPER,27
#8UVJ0JLV,LuBu,361,64104,42935,PIPER,28
#VGR2RJR,joey,347,63242,37645,PIPER,29
#L9GPJUCC,Jebs,308,63007,13850,PIPER,26
#YGQPYVC0,CerealKiller,314,62829,28062,PIPER,27
#Y099JPJGG,TheMuffin,303,62355,24925,PIPER,31
#8QL2GRYL,Cream,310,60610,27390,PIPER,31
#LVJV0YQ8,kdog,471,60787,65038,PIPER,26
#GJ2L28,❄️Brianmed❄️,290,60109,24397,PIPER,26
#28RJVG0U,DragonZarman,283,59447,22874,PIPER,26
#QVQ0JJYP,Oscar,280,59146,13645,PIPER,26
#2JGP9RCGC,MadSWAG,287,59046,21360,PIPER,25
#Y0Q9JCJC,Marshmallow Man,353,59357,31929,PIPER,27
#RQ0PQGLV,apeman,332,57915,34430,PIPER,28
#QCCGVJCR,MoProblemz,293,56617,21782,PIPER,26
#2998YRP9R,Kota,258,56630,18740,PIPER,25
