player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#VYVYVG8P,Alanta🤍Kobe,309,70873,15409,PIPER,30
#9PQVQQ99,ATD InfernalCub,220,61926,12407,PIPER,29
#L9CQ8J88,Night❤️Max,325,61276,19658,PIPER,30
#V9VRQ9RQ,SF|Derp,238,58426,11586,PIPER,28
#Y02UCLYGY,Nemo,332,57885,27400,PIPER,24
#8R8YRCG0J,♦️|𝓓𝓪𝓷𝓲|♦️,271,57461,10027,PIPER,25
#2JJ2QC0LL,Lowquality,242,56220,14191,PIPER,30
#QUQ090P,Louis,273,55534,15665,PIPER,26
#LCG20Q0CQ,Green Hawk,191,55495,4983,PIPER,30
#89GCQP0JJ,JaKobe Kenobi,271,55565,15640,PIPER,27
#L820J8GJY,jordan is a qt,217,54500,3182,PIPER,25
#92VPC9CGU,Net,226,54361,16928,PIPER,29
#82YVG28P,чудик,246,54188,10897,PIPER,28
#99LPC80LV,⚽️ALEX⚽️,277,54144,9448,PIPER,29
#2VYG8UVV,Nova,240,53240,13355,PIPER,30
#2CL9R9JY,DabberDavid,289,53023,20502,PIPER,22
#U0LG8LP,YT:Frizy💙Kp>.<,266,53054,13254,PIPER,24
#P0UJP9VY,CoolCastle,196,52998,5120,PIPER,24
#LYV000QU,🌌Galaxy🌌,233,52030,13565,PIPER,25
#928VQ2C8G,finC2187,188,51061,5065,PIPER,27
#8PV22PJL0,寒|⚔Ѵł₭ł₦₲ѴØĐ₭₳シ,210,50838,5999,PIPER,26
#8GR8Q8JGG,ATD Sam,255,50721,16449,PIPER,26
#8U09R8PLL,BluMeeb,246,50477,11071,PIPER,25
#2J9J8RQJ,MajesticSeagull,253,50575,19437,PIPER,27
#20PY288CQ,Frostyvibezツ,306,49793,22164,PIPER,26
#20UVCCP0V,Donut Lord,238,49328,8585,PIPER,25
#2UJYVCPLC,Adr3naline,209,49287,5963,PIPER,23
#2CR8LVUC0,bot13:),294,48928,16158,PIPER,26
#9C8QRV99,PePzii,267,48698,12292,PIPER,25
