player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8QPY098R,陽|Swaggerify ☯︎,301,73794,25929,PIPER,35
#8RG9V80U8,ICarry2YearOlds,399,73344,45011,PIPER,30
#2JYGCJLYJ,AugustoHenrique,380,69134,22829,PIPER,30
#2LCRJUG,skunky,396,68815,46425,PIPER,30
#2282G0VUP,Comedian,269,66587,10573,PIPER,30
#22QV22L0L,Keswa124,312,66431,26944,PIPER,27
#GQ8YJ9V0,EwF,428,65322,47086,PIPER,27
#298C8V28G,nishdafees,299,63876,18197,PIPER,27
#YRRVRR9U,Doodle10,319,63350,18261,PIPER,26
#92JCV9VR9,DAV,291,63217,12055,PIPER,25
#2V2R9P2J9,PhotonWinz,311,62822,25708,PIPER,26
#9082UPR,Maximus,292,61198,10545,PIPER,27
#9CYCC08QQ,⚡️Sodͥαgͣoͫd⚡️,334,60956,19510,PIPER,29
#2Y2UUU0Q2,._. oof,363,60830,27085,PIPER,25
#9JG0JUCQ,Velocirooster,339,60448,23836,PIPER,26
#9UP8RRRV,Foxtrot,343,58718,30329,PIPER,26
#2PYUJLG9U,BC|Pśycho,419,59108,51243,PIPER,30
#2CU8CPG2P,Mith,500,58230,28934,PIPER,24
#8GP092JG0,frazz,364,57164,39920,PIPER,25
#208CQYGVG,Domča,308,56713,18359,PIPER,32
#PQQ0CUYUR,Gandalf,257,55520,13834,PIPER,25
#8V28CGV8,KingAlyaan,338,55503,18948,PIPER,30
#9P20QLG,Lupus💤,337,55608,34709,PIPER,27
#9JCUYYPP,Scbeattie,270,55147,13518,PIPER,25
#98RLC9UGJ,hoogaliboogali,334,54960,30119,PIPER,30
#Y0CJ0LG88,kivvizz,192,48132,8085,PIPER,29
#8099RJGVJ,rams,349,47883,28479,PIPER,24
#Y2QPGG,Lex_YouTube,267,45272,20773,PIPER,26
#22L8UG8P,Royce,286,43074,17532,PIPER,28
#208UR80,KairosTimeYT,247,35171,13775,PIPER,23
