player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9UVLRRYV9,ŕąğåňøķ,293,67883,22356,PIPER,28
#988PGLYQ0,❄Yuki❄,326,63680,32234,PIPER,28
#2RY0V800C,HR|Emerald,251,60304,10698,PIPER,26
#2LCLRYQR0,Churro⛄️,347,60010,12575,PIPER,26
#P0YV8VCGV,HR|Carlos,237,57734,12349,PIPER,29
#8G0R909V2,alexxis,308,57450,27911,PIPER,25
#29VCC80R9,b3koN,279,57070,18877,PIPER,25
#80YG0GY9C,bardoon,221,57222,13658,PIPER,28
#Y9YUGLCJJ,HR | KingRotin,269,56237,22701,PIPER,26
#VURYP0G,WommelsWaffle,278,55838,22798,PIPER,30
#2PYVLV20,Comet,259,54499,18187,PIPER,26
#PV2CUPRJ,Dan,265,54467,15324,PIPER,24
#9L29LJL08,Hydroflake ❄️,302,53185,23938,PIPER,30
#GUVPV022,PhonedLime,327,53069,18170,PIPER,26
#PJQGQC8G0,chicken,292,52496,19996,PIPER,25
#2YG0G9P0,Ruwen93,273,50884,19252,PIPER,27
#PRVLPV9Q,CYG_Vixen(^~^),271,50857,21307,PIPER,23
#QP8JURCJ,Darkfang,316,50944,17407,PIPER,27
#89PLYPVJ,Best Username,234,49950,14666,PIPER,22
#8URYPR2Q,Edgar,258,47655,14631,PIPER,28
#C88C9VRU,areen15,251,47441,12805,PIPER,25
#JQLGPJ08,HR|𝔗𝔦𝔱𝔞𝔫 亗,330,47273,29855,PIPER,22
#2CVQCJQP,ultimakey,267,46274,22737,PIPER,25
#YJJ2PCL,⚡EYLive⚡,301,45838,23004,PIPER,22
#2QRJ92GJ9,XOOB,244,45626,16111,PIPER,25
#980YVV808,Merlin,213,45327,10023,PIPER,27
#VUVR2P0,Tøxic|KADEEM,251,44585,12637,PIPER,23
#Y88Y9G0PR,oteroweb,284,43916,15138,PIPER,22
#GYL02UC9,Miles,198,42104,9887,PIPER,26
#8VCRVYRC2,HR | Baller,201,37813,12743,PIPER,21
