player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#99J0CJG0,mr.cuck,233,60521,13280,PIPER,27
#PQQPVQQ82,Randoms=🤡,224,57104,12794,PIPER,25
#8QVGC2J9R,Ion,284,56785,15916,PIPER,26
#8CR8VR0Y,Derp,244,55181,14306,PIPER,28
#RCGGRUC9,redDeadPool,295,54821,28397,PIPER,24
#220YLLPQ9,Levos,246,54412,12223,PIPER,28
#29VGU0VJP,🇲🇽Ice Soul❄️,309,54271,25276,PIPER,31
#2Y2L822Q8,FIGHT ME,261,53844,19350,PIPER,25
#99U8VCJG8,U idiot he,189,53197,7613,PIPER,26
#282YRPYJ,£*#€ *$ :=€æ%,218,52028,9299,PIPER,29
#2PJGP0VLP,Lamb,213,52067,6163,PIPER,25
#Y2QULJCYL,Ballin&Brawlin,226,51791,5396,PIPER,27
#9LCYQLG8,Spammer2,244,51594,11234,PIPER,28
#22PJ98LRC,BeedoKing,283,50962,16778,PIPER,22
#99U8RGUL9,Ninja Knifer,219,50965,5437,PIPER,25
#8V2Y9LU9Q,Big E,312,50599,32007,PIPER,25
#22PG8LQUU,T1dePodz,248,50778,14072,PIPER,23
#YU8CYJQ2V,Greyson,189,50536,5456,PIPER,26
#2L8U2QQC,Prototype,189,50400,8997,PIPER,26
#2800RY9CQ,Spin2win,266,50042,16074,PIPER,29
#9922G82UL,TR | GIGGLES,237,50037,6207,PIPER,23
#8YRCGYGG0,SubnauticaMan,267,49625,18785,PIPER,24
#CY000PP2,EX | Canes,192,49559,7391,PIPER,24
#8RRG9VYL,Iraq goes,237,49205,14406,PIPER,26
#2GU2YJVG,rat 4 trophies,180,48713,4224,PIPER,23
#GRPVPJUJJ,LunacyN,155,48548,2838,PIPER,20
#2VGR882LV,Crystal,227,48337,8460,PIPER,27
#PLJ2J9Y0,Bot 9,264,47980,20235,PIPER,24
#YG899CPVJ,turtletimefn,170,45889,4530,PIPER,28
#CJQQYGVR,FuriousJohn,239,44613,13714,PIPER,22
