player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#YRVY8G0P,Heͥdgͣyͫ⚔🦔,367,86445,30669,PIPER,32
#2Y9GLRCRR,Xcalius,386,69573,31629,PIPER,28
#928Y0RLJP,Cole >.<,286,68394,13512,PIPER,30
#20CLVRL9R,Brawler,323,68316,16816,PIPER,30
#92YGLP2L,🎭𝕂𝕣𝕠𝕟𝕠𝕤✞,266,65599,7242,PIPER,28
#YU8JQQYGV,Alex,273,64133,20227,PIPER,28
#80YCY022Y,Buyterrim256☔️,300,62634,17886,PIPER,30
#2RRR9J2Y9,Ocean Jeff,309,61803,28953,PIPER,27
#29VGYU98,fortniter,253,60890,14382,PIPER,26
#2RP8GY0UQ,Tripp💫,300,60891,21972,PIPER,30
#PCCLYUGC,Mr.Booty Jones,364,60007,44045,PIPER,30
#QR28LY9,croxx 🦦,325,57712,30928,PIPER,30
#UJPQR02U,lol,261,56582,16138,PIPER,29
#8YJ8C2GVG,D!H | Xuz,232,56399,15406,PIPER,27
#PRC0QV90,Ciderx ᕦ(ò_óˇ)ᕤ,250,54277,15855,PIPER,27
#8R8UJ22QV,ES|D King🐉,267,54141,12463,PIPER,25
#29VG0JV88,jaja96,269,53723,18800,PIPER,25
#PYRPU2PV,Kowalsky🐧,345,52894,34992,PIPER,28
#PLPU0L2QC,「ZH」ØddEye | 伝説,223,50456,4997,PIPER,26
#9V80GJ8P,ReconPro,253,50004,11530,PIPER,28
#Y9CQVRJUJ,TT|MAT,187,48322,4325,PIPER,22
#2RGGRGP9L,Spicy|BS,191,47928,13330,PIPER,30
#9CCUV8Y9P,FlamerGamer,241,47902,15799,PIPER,28
#2JC2Y89QV,Kylie24,167,47704,6776,PIPER,24
#LL9G00VLJ,ViVi_Big.Q❦🔞,187,46936,6829,PIPER,32
#YJ88G2CY,Sedici©,239,46209,15278,PIPER,27
#89RJQ8GRQ,BOONGSH,202,44362,9195,PIPER,30
#LYC8RVYYQ,ツ Bison ᶫᵒᵛᵉᵧₒᵤ,175,37173,7482,PIPER,23
#RY2PP9VQ9,Ben,113,26614,2410,PIPER,27
