player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2YPCQYCG0,Yo Bob da slob,319,83592,17452,PIPER,35
#2C9RPLLVV,SubSided,302,74895,25535,PIPER,35
#P0VQ0U2YQ,VLG|Zoru,296,72415,27181,PIPER,30
#8PLJCJCRV,astero🖤super,325,72228,33557,PIPER,34
#2QULG82J2,ㄒㄖ爪ㄚҜ卂ㄒㄖ爪丨Ҝ,286,69515,14932,PIPER,30
#22V90Q899,Kermit the 2nd,265,68670,13299,PIPER,30
#YQY2V00C,Sleepy Sandy,294,68405,16278,PIPER,30
#RCCUQJUV,mikeBS,367,68405,45539,PIPER,29
#22QGQJ08R,Phrogeye,315,66174,14449,PIPER,30
#PV9YRJ0UG,JC |quimy🧑‍🍳,273,65957,10267,PIPER,28
#P0L20RCVR,ETHAN,270,65531,17082,PIPER,29
#2RVLVP2JG,shinobu魔人,303,65209,20050,PIPER,30
#8GU20RQLL,㊪|𝐿𝒾𝓁𝒩𝒶𝓍,282,64554,22445,PIPER,26
#LJ0JU0Y0,スティージー,345,64068,15278,PIPER,28
#8UV2YLPY0,VLG|Drop,279,63947,21457,PIPER,28
#92C08YG00,NiceShøt;),235,65659,12643,PIPER,24
#9CRPJ98R2,筽|Gardey⚡️,246,63379,11236,PIPER,30
#9RR08GC09,Leland 🦖,322,63978,25645,PIPER,30
#9CGJGCLVV,Clean Brawler,291,63126,10973,PIPER,24
#VPLCL902,harooo,275,62917,14716,PIPER,27
#PL8QRJ0CL,Loco Pony 😴,268,62718,19417,PIPER,30
#9UP0P0UJY,shut heck,266,62543,23174,PIPER,27
#P2PJ8UQCJ,∆| Lullaby™,315,62366,21994,PIPER,26
#2C02LVCGV,y_i_win,296,62375,26399,PIPER,26
#PRC99CQVV,miirrro,272,62352,10453,PIPER,28
#9VLJL0CGY,Daddy🀄Darkar,389,62206,42385,PIPER,29
#J288LGG0,nova✨❤️,233,61451,9778,PIPER,28
#UJ0QRC9P,💕Kala,458,61302,71052,PIPER,35
#GJUPQPV0,Ironclaww,302,61291,20760,PIPER,28
#2GU9PP2R9,VLG|Glyth,291,58253,19810,PIPER,32
