player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#L9V8RU8Y,DeereJJ,327,62081,30461,PIPER,26
#J9VR0CY,HB|TheRealOG,418,60919,47398,PIPER,26
#GGJ9R0U9,Batman,287,60435,21272,PIPER,26
#2LL8R99VC,Tanner,349,59291,34332,PIPER,27
#20RVCQJ,PrankStar137,352,59104,29136,PIPER,26
#2V22LLCPU,DR3AD,358,59149,41372,PIPER,25
#20RC9L9J,mundo,356,58842,42273,PIPER,25
#2JL22UY9P,Flea,291,57549,23925,PIPER,25
#22PU0VGRC,HB|Malaka101,299,57055,20784,PIPER,26
#VJ298PR,Mr Tar Heel,276,54652,21245,PIPER,23
#9VGRQPCQ,LadyGreen,380,54024,31446,PIPER,24
#22LQR20CY,Paradox,317,53194,23512,PIPER,25
#QG9Q2QLV,DrProfessor95,260,52919,17990,PIPER,26
#2VUQRGLRV,grace,219,52150,14825,PIPER,28
#LV2QRJYJR,6T9,243,52048,12829,PIPER,24
#2Q8P929YC,Husker,268,51887,15329,PIPER,23
#22UVYUU00,Underestimate,292,51255,21430,PIPER,31
#2Q9Q2QGQV,TiredNathan,216,51176,9553,PIPER,27
#YLJYPRRRU,F(R)iEND,306,50807,29967,PIPER,23
#LYUGRJCC,N-BRAWL,276,50808,12948,PIPER,23
#98PJ9YQ80,Adam Sandler,247,49676,14009,PIPER,22
#Y9RGCQG,tech4life,300,49382,21256,PIPER,23
#2G99VJGR8,deeez,275,49303,19493,PIPER,25
#VGGV29UL,꧁𝓉𝓇ℯ𝓃𝒹𝓈꧂ ❦,245,49281,15405,PIPER,27
#PVCLCJ9C,YourDaddyッ🖤,291,47712,24527,PIPER,25
#CC09VJ2,Xipetotec,308,46087,26801,PIPER,22
#PVC2VCYR,NKA,260,46242,18502,PIPER,21
#80RQQL2L,Paladin,260,45645,10472,PIPER,22
#990Q8RUUL,Bovaque,236,44270,12907,PIPER,26
#9QV29LJR,Electric x1x,245,41434,17010,PIPER,24
