player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#22UJPG8Q,SL |Prootz,385,70275,33573,PIPER,30
#82G2RU29,Jiky,338,66728,27473,PIPER,27
#29820GJV8,Tu Deflues,346,65526,18416,PIPER,29
#82J9RULJV,Dman320,334,65015,17230,PIPER,30
#80GPQQ9VQ,★ᴀԍʙ★,324,62011,30412,PIPER,28
#JYPR2CC,Icy Frost ❄️,336,61837,33648,PIPER,30
#C89V9UY,Ӽɢ | Justin,269,61057,12626,PIPER,26
#LCUVPCU0,SL | Warriors,362,58467,38523,PIPER,28
#88UQUCJJR,☆SleepyPhoenix☆,324,57995,23401,PIPER,27
#829VYQLG2,ZiPoolice,280,57125,21026,PIPER,25
#2V99GQLY,FST | Rusty,294,56956,13693,PIPER,27
#8QC92CYL,black hammer,289,56953,18429,PIPER,26
#QYCVCQJ,NateZeTomato,295,56493,19173,PIPER,27
#8PCGPR8R,SL | Phantom,378,55745,34591,PIPER,25
#2P0GRYV0,Juicy Soda,340,55290,18715,PIPER,26
#89V2QUCL,gattaca,356,55200,14572,PIPER,23
#9LLUCV8G,JJShwa,278,54614,22074,PIPER,26
#29GQQVL00,t!tyjob,310,53728,30331,PIPER,23
#U2C8G0PG,TF|ƒaвi՞✨,326,53441,32741,PIPER,29
#PQRCC09,FooFooBaBy007,304,50786,29163,PIPER,25
#YCYQRYU0,Check >.<,328,50148,34212,PIPER,28
#8QGPYRRL,Bercn,258,50066,12703,PIPER,24
#8QP8QRUU,Chaze,309,49476,10923,PIPER,27
#YU0U9RVQ,SL | Jules,295,49010,19483,PIPER,26
#89RJ9PJ9,ѕιя ѕℓαтт,324,46219,26446,PIPER,26
#PPC9Q09L,🩸CrimsonBlud🥀,233,45495,15303,PIPER,25
#8UJ2VV2VY,Ӽɢ | Flashfire,293,45315,21018,PIPER,26
#2J890V9,SL|Rocker,248,45246,19390,PIPER,27
#28PYURUU,CHIP CHOCOLATE,243,42827,12832,PIPER,21
#290JUVJ0,Tiny Machine,318,39441,23691,PIPER,29
