player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#U0QQ2CYJ,SV | Deranged🩸,340,59704,15318,PIPER,30
#2YQ0U9Y0L,♕𝕻𝖆𝖜𝖊𝖑𝖝🤍,236,59044,5723,PIPER,26
#PVR8UVGYQ,MTB|Foxy💤,284,56379,9633,PIPER,28
#99GLVRY90,Legenda Damian,283,54570,19346,PIPER,28
#8JVCC0VRQ,AzĐ,312,53564,21372,PIPER,26
#QUUCJGG,⚡️Z҉E҉R҉O҉⚡️,300,52121,17393,PIPER,26
#8LVV0CRJV,мирудзукіㄆタを👅,198,51460,6779,PIPER,28
#QYQ2PP9P,W 1 N T E R,237,50629,9605,PIPER,26
#UYJ909JL,Zibro,227,48682,7653,PIPER,25
#2890YCJQV,UNFORGIVEN,204,45913,6335,PIPER,24
#2QRP008PU,JAVA_BRO,196,44764,4510,PIPER,24
#9RJU2QUPP,JetoXqz'vムな-🧸,253,43341,17040,PIPER,28
#PJY0VC2YY,NPC,179,42725,6157,PIPER,28
#PPV2RRUUG,賣𝙴𝚏𝚎🧃,230,42407,10792,PIPER,25
#2UURLG2Y8,ЧИТЕР777,195,42312,5181,PIPER,27
#JC0RU2LJ,FAN MAR GRA,150,42212,7614,PIPER,27
#YYL0VJ2L8,İmmortal⛩️,190,42048,5148,PIPER,18
#LUQ8GU0Q9,EL$AD,223,41417,13331,PIPER,25
#PR2929RCL,EZKU,185,41306,5626,PIPER,25
#8LPV8RV2R,T1|Marlon,179,40793,5704,PIPER,28
#9ULC0R0,[Nova]|®@©¥™,208,40610,8744,PIPER,26
#2JC02P90J,Денис-Кис,179,39721,4341,PIPER,25
#9URRCQG0G,⛩️øło|不是奧洛🥀,176,39704,3229,PIPER,23
#90VGUCV9G,мырза,222,39530,6621,PIPER,21
#G9G8YPUGR,Ｋｅｎａｎ ᑅ ᐧ ᑀ,154,39672,1332,PIPER,22
#8JGPQ89LC,ャ Extazy - 💫,198,39284,7444,PIPER,25
#L8PC02CPY,Veli pro,193,39288,9913,PIPER,15
#PG2QVR0LP,cr1stii🧛🏿‍♂️,173,39118,3502,PIPER,25
#2PLVUYCLU,DADDY🥵,230,38625,14637,PIPER,22
#8YYRQVQPJ,🌴Anamdi🌴,174,35213,4698,PIPER,24
