player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#R8RR9GYR,⚡100Nome ;D⚡,379,72341,27111,PIPER,30
#2U0JVGGCR,Dinh,352,68252,45998,PIPER,30
#9YPY28GRC,Tanuki ϟ,323,68246,29014,PIPER,27
#20CV2PY8,HA HA HA,274,64252,12443,PIPER,31
#8YGY28QY2,Thx4TheTrophies,281,62250,24503,PIPER,28
#9Q2882C,KING,347,61766,32911,PIPER,30
#8LJCVQCCP,AQM|ShockRock🔥,302,61429,24742,PIPER,27
#V08VPP8,<c0>FreeWin</c>,343,59768,29395,PIPER,26
#9UJ9VYQC,Cheezit,299,59523,19868,PIPER,27
#PQYQ0RCL,KIL4ME,318,59433,31352,PIPER,28
#22LR0PLU,brawlingstar,273,59213,11386,PIPER,27
#2YR9U0JL,Warden,308,58225,25465,PIPER,28
#2GRQJLCY0,Kip485,288,57022,16349,PIPER,25
#Q8289CGJ,Skichy😛,292,56119,17900,PIPER,23
#8YJ8QG2LG,worumnet➶,182,54149,9531,PIPER,29
#8YU0LR0V9,Benito Russa,292,53948,18333,PIPER,28
#29C8YG29P,☄️QSpAwN☄️,258,54064,12506,PIPER,24
#G92QCL2QJ,gamerman89687,192,51901,11904,PIPER,30
#9JJPU0QQ,AstroBear,258,51085,20492,PIPER,26
#2LCCCJQQC,DAVID,335,51031,18811,PIPER,25
#L8URYV9,TheWorst,233,49333,17477,PIPER,23
#GCQPP,Makinloves,266,48528,19549,PIPER,25
#RVL22RR,Jx,240,46500,17134,PIPER,30
#20099YL2,Flank,245,46091,11398,PIPER,22
#8UY9GCY9,Finisher,276,45257,14370,PIPER,23
#JGQ98JCL,Aftermath,183,45068,9737,PIPER,26
#GGCLUQ0P,Visar K.|,276,43199,19035,PIPER,25
#2YYG9VJ88,Ko,204,42882,10685,PIPER,26
#9GQ0YV88Q,OhNoStepBro,173,42448,9042,PIPER,23
#22R8VU2LU,kookie,227,41818,13874,PIPER,22
