player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#V9LQY0GG,Lucky,335,71662,33553,PIPER,35
#8VRQQUV8P,Tsuta,275,71200,24945,PIPER,31
#Y8CUQL2,Mach,335,64082,35189,PIPER,27
#2R2RVR2LL,藩主 | Sai 🎌,348,63652,36519,PIPER,26
#2CCV0PPV,Wubwub,272,62494,20218,PIPER,27
#2QLLLPUQP,i eat parakeets,298,62092,18155,PIPER,27
#9LCVLGUCJ,갈대💙 아쿠아,299,62961,6888,PIPER,30
#299UGPJU,Mystic,278,61066,15549,PIPER,28
#8GUQ2YP9Q,??dw??,283,60498,16353,PIPER,30
#2U00RGL89,AIPIM e bot =/,270,60065,18821,PIPER,26
#JCG20VPR,olaf,267,59797,14164,PIPER,27
#8QGV9UPPR,BG | PP_Bomber,302,59627,24951,PIPER,30
#JYJL2UVP,M34T玩家☯️ツ,380,59105,26182,PIPER,26
#9LVJYQ0U2,BIG KNEEGUS,359,55586,31193,PIPER,26
#R9GL9U29,Lolyoudied >.<,244,55050,12469,PIPER,28
#99YV0GV98,oll Experts llo,298,54738,24747,PIPER,24
#29RVCU9YQ,[max],250,54682,13741,PIPER,26
#LU2QJPG9,mcgibbles,322,53811,29225,PIPER,23
#9UC0VLCVG,I am,212,53009,14315,PIPER,28
#CR20PY9,Vini,279,52886,14307,PIPER,24
#28LUR9PY,SUPER LUCK,346,52525,24533,PIPER,30
#90RL02UC0,Sunken.,242,51893,12198,PIPER,25
#22VRL2PR,team8 str8trash,232,49481,17456,PIPER,25
#9YCVPG92L,SRV1C,232,47657,12676,PIPER,26
#22PRLJLGR,BG | Boogz ツ,280,47629,26216,PIPER,27
#2CRQ9VGRL,Coco,207,45489,7443,PIPER,29
#20V89QPVU,kobeforwakanda,253,37728,16364,PIPER,30
#8RJP9CGLG,Toxin,190,33387,8934,PIPER,29
