player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#28UYLU89Y,❄️OneTap🔥,268,71702,12921,PIPER,30
#UY890J8V,Markk909,352,64581,37096,PIPER,30
#YUV92RPRV,DylanTDH,303,63705,12961,PIPER,26
#VRJJP020,𝓇emi ☯︎,283,63055,18633,PIPER,30
#G2Q09RCY,KingerWinger,252,62160,10140,PIPER,28
#YG2GU0LQV,Crescent🌌,238,61930,15832,PIPER,28
#PJ0LLVV2V,⛩️|Lzm64 🎋,310,61421,19583,PIPER,28
#8CJC8U9V,pqze,251,61274,20686,PIPER,27
#8PPPLCRL,Brawler,279,61005,19781,PIPER,25
#LGUPQPVY2,༄✿ ¦Å𝙜ᵉ𝘯𝓽𝕁,254,60095,19193,PIPER,30
#QV8VQCQ0L,olegnA,194,59313,11886,PIPER,24
#P998VLY2Q,メLoquacious🥷🏽,249,59246,15758,PIPER,26
#9UPPR80JR,NaviGato,194,58339,11556,PIPER,28
#20228LJ2,DemonCraft,241,57606,7507,PIPER,25
#2G29RL2R0,Dragon282,249,57219,11622,PIPER,28
#P0YV02CPU,Brawler,298,55269,24777,PIPER,26
#VYCJ9GVR,Clqmpssss,219,54349,12707,PIPER,25
#9LCGGCQRR,◑∥Løthīsgūy•Д,255,54252,21144,PIPER,27
#9GUVG9R82,Almond,289,54143,19771,PIPER,28
#LYV8Q8V8,Ghost48,186,54099,7846,PIPER,27
#GYYRYG82,ImStuckStepBro,295,54102,23170,PIPER,26
#P89RQURRL,Tyu,241,53575,19272,PIPER,22
#QLR2GRLLL,𝒲isp ☯︎,195,53468,10583,PIPER,29
#9LR2GG9V,SuperNoahHere,256,51246,17165,PIPER,26
#20JR2PPCQ,Jaynil,284,50833,19017,PIPER,26
#98Q8LPVLG,TRY|NelsDaBest™,313,50915,31587,PIPER,25
#2YPYPJCYY,𝕩𝔻𝕦𝕥𝕔𝕙𝕪,242,50683,18838,PIPER,25
#VQRU0G00,PolishPro,213,50263,8357,PIPER,25
#28C0CP0V0,Super___Angel,240,47775,14686,PIPER,22
#280U92L0,尺〇乃巳尺丅,277,46271,15397,PIPER,27
