player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2LQVQG9Q9,I 🖤 emo girls,338,83354,35335,PIPER,35
#GRRGUPUC,AE | Lwadrian,341,79435,28838,PIPER,30
#UPQJJR9R,I🖤korean girls,259,78856,19558,PIPER,35
#8LV9P2L0,Mekline,333,75399,17639,PIPER,30
#PVPQLPG2Q,I🖤sanriogirls,296,75487,27337,PIPER,35
#PVRLRCCG,ᴄᴏʟɪɴ,362,70000,31794,PIPER,30
#9RGLJLRGP,KadenRTX🧌,386,68667,50376,PIPER,35
#8YJ222982,lil e 😔,344,67475,38440,PIPER,30
#8LQ9JCJG,Clairvoyant,256,66791,15222,PIPER,28
#98UCLYUP,KundaChem,304,64482,25761,PIPER,30
#9G2QYL0,øčtôpüś,272,63749,20068,PIPER,27
#Q0VUY8800,I 🖤 rave girls,228,62961,18204,PIPER,30
#JLGQYQ88,Mingy ঌꨄ໒ Grifo,311,61977,12256,PIPER,29
#PQPU9LY9,Coinshado 🪙,290,61642,18320,PIPER,27
#992URGGYJ,꧁N҉o҉o҉b҉ ꧂,306,60884,23639,PIPER,27
#QLUYYVCV,SupremeKing,343,60096,35532,PIPER,30
#2Y29Y92QJ,eekayem,302,58383,27158,PIPER,28
#J8L8JJYV,Sneer,308,56658,27341,PIPER,32
#20P2V908U,blinky ✧･ﾟ,259,55939,16662,PIPER,30
#P0LUGJU2,Juju🥷,254,54111,11846,PIPER,29
#2RU22CC,Ryann,245,53753,15766,PIPER,25
#2JJR08YQ2,I Sigh,245,52073,15881,PIPER,30
#PP0U9JG,cubi✯,237,48305,11208,PIPER,27
#Q9CLJRGY8,Eternal永恒,154,43790,7674,PIPER,29
#2CCYLUL8,Mediocre,225,43701,14077,PIPER,30
#20YP9C2QP,saltea❦,279,43624,18210,PIPER,27
#CPJCCLJG,Kaito❦,306,37915,24769,PIPER,28
#9UUC9J8GG,CursedWhisper⛧,138,27819,3476,PIPER,27
#8LY8LJVJU,mai,94,16200,2214,PIPER,11
