player_tag,player_name,brawler_name,rank,highest_trophies,3vs3_victories,exp_level
pucypryg,愛Romanticism♡︎,PIPER,28,911,15969,247
2GCJJP0G,⚡️ØMEGÅ⚡️,PIPER,30,1029,17882,274
80RC8VCY9,「CNS」,PIPER,27,888,23472,292
9LLVY0Y00,pancakeッ,PIPER,33,1157,10416,187
R82C8V0V,Alson.,PIPER,23,673,8575,227
LQPLGCGVG,lucky 🍀,PIPER,23,667,13012,212
L0YL20JR,Greazy ❄️,PIPER,26,808,8756,217
2VC9Q2CU0,Lunarie,PIPER,30,1005,12196,182
90YUJPCL2,Who asked,PIPER,28,943,11266,201
99RQG9C82,ZETA | Raymond,PIPER,24,741,19206,252
R8PP29Y0,ᥴ ꫝ ꪖ ꪧ ᥴ ꫀ 🥀,PIPER,28,901,8763,209
9CP90CQUY,TRIBE|OSCAR,PIPER,28,904,12889,220
2CVY0LR9,TacoRollinOut🌮,PIPER,18,423,9053,171
Y8R8PGLRY,Sky,PIPER,22,614,5394,168
829LU9RV0,rt,PIPER,22,639,3406,134
8PYCVG88G,Nandomo,PIPER,25,750,8527,168
82Y90Y8RL,ғͥilͣiͫpᵍᵒᵈ💔,PIPER,23,697,4465,158
YCQPQ90V9,Slayer,PIPER,20,532,3893,154
YCUVQUP,ChiefSosa,PIPER,21,555,6289,167
YVQQ2LGPP,エキゾチック🄹Z🄲₂₀₁₇,PIPER,27,871,6367,163
2GYVCP22P,XD,PIPER,19,460,5373,153
PR88R0GC8,Astro,PIPER,27,852,7921,169
2G8U92G0U,愛波巴 |LemonTree,PIPER,30,1009,7811,154
LQJYPL2LY,someone ._.,PIPER,12,187,4967,137
2YRGLG8CG,❤️MOSQUITO🇺🇲,PIPER,16,367,8582,159
92Q8QJYU2,TriColor,PIPER,16,363,4388,129
9LPRL80L9,[_____],PIPER,30,1008,2589,118
GVQ2GGUU,💀💀,PIPER,20,531,4194,115
